Departamento;Pobreza;Tasa de desempleo;Total;Urbano;Rural;Indigenas;Rrom;NARP;Proporcion en Riesgo;HURTOS;V.I.;HOMICIDIO;D.S.;ABIGEATO;Discapacidad;Censo electoral;Votación 1ra vuelta ;Votación 2da vuelta;Tasa de aprovación secundaria ;Abstencion_pr;Abstencion_seg;Tasa_abs_pr;Tasa_abs_seg;t_urb
Amazonas;0,301;14,0%;66.056;50.562;15.494;38.130;5;486;;603;262;15;241;427;1.755;46.564;18.428;19.974;89,456%;28.136;26.590;60,42436217;57,10420067;76,54414436
Antioquía;0,212;10,7%;5.974.788;5.111.227;863.561;37.628;136;312.112;0,368;98967;23447;4462;7980;77;57.178;4.726.629;2.615.238;2.586.802;84,537%;2.111.391;2.139.827;44,67012325;45,27173595;85,54658341
Arauca;0,318;;239.503;181.911;57.592;6.573;4;10.058;0,857;2538;652;231;527;135;3.160;187.189;89.702;93.254;96,682%;97.487;93.935;52,07944911;50,18190171;75,95353712
Atlántico;0,242;8,3%;2.342.265;2.312.176;30.089;39.061;101;140.142;0,13;34552;4659;1009;3030;432;17.246;1.868.411;873.397;806.500;91,751%;995.014;1.061.911;53,25455695;56,83497903;98,71538874
Bolívar;0,352;5,8%;1.909.460;1.766.302;143.158;5.204;31;319.396;0,348;19323;4484;688;2158;286;18.620;1.550.644;638.517;679.726;87,385%;912.127;870.918;58,82246344;56,16492245;92,5026971
Boyacá;0,266;7,4%;1.135.698;717.364;418.334;7.151;18;4.247;0,073;9010;6266;153;1697;71;21.080;944.530;561.691;572.874;88,478%;382.839;371.656;40,53222238;39,34824728;63,16503155
Caldas;0,221;10,1%;923.472;752.743;170.729;55.801;37;14.716;0,185;7063;1504;362;1296;97;13.052;782.862;455.595;445.005;86,915%;327.267;337.857;41,80391946;43,1566483;81,51227108
Caquetá;0,401;9,1%;359.602;260.625;98.977;8.825;21;5.087;0,563;4132;959;329;799;547;8.559;286.586;132.452;130.619;90,514%;154.134;155.967;53,78280865;54,42240724;72,47595953
Casanare;0,191;;379.892;293.995;85.897;6.893;12;6.130;0,158;5315;1278;89;665;214;9.047;276.164;181.694;178.628;85,723%;94.470;97.536;34,20793442;35,31814429;77,38910006
Cauca;0,505;8,9%;1.243.503;623.680;619.823;308.455;39;245.362;0,738;16465;4731;1238;1946;475;19.207;954.036;482.000;508.054;87,070%;472.036;445.982;49,47779748;46,74687328;50,15508608
Cesar;0,429;11,2%;1.098.577;985.531;113.046;51.233;20;142.436;0,4;13620;1927;429;1295;6;15.578;780.342;400.218;404.826;87,273%;380.124;375.516;48,7124876;48,12197729;89,70977911
Chocó;0,611;9,6%;457.412;299.486;157.926;68.415;36;337.696;0,867;3185;403;384;461;269;2.060;308.970;119.593;120.899;83,821%;189.377;188.071;61,29300579;60,87031103;65,47401467
Córdoba;0,442;8,3%;1.555.596;1.120.175;435.421;202.621;142;102.495;0,5;12509;2989;673;1690;635;20.490;1.231.078;597.614;623.830;91,712%;633.464;607.248;51,45604097;49,32652521;72,00937776
Cundinamarca;0,164;10,1%;2.792.877;2.206.030;586.847;9.949;98;13.092;0,043;289747;70091;2634;12670;626;25.345;7.587.213;4.914.959;4.763.158;88,310%;2.672.254;2.824.055;35,22049533;37,22124316;78,98772484
Guainía;0,65;;44.431;23.641;20.790;33.280;5;460;;514;110;5;92;115;145;26.923;9.674;10.434;72,840%;17.249;16.489;64,06789734;61,24503213;53,20834552
Guaviare;0,335;;73.081;48.440;24.641;6.856;3;2.991;1;5896;880;398;598;124;844;58.298;25.591;27.655;81,779%;32.707;30.643;56,10312532;52,56269512;66,28261792
Huila;0,37;9,2%;1.009.548;687.177;322.371;12.194;35;5.099;0,108;532;288;39;242;238;20.279;817.464;456.879;464.117;77,800%;360.585;353.347;44,11019935;43,22477809;68,06778875
La Guajira;0,537;4,6%;825.364;464.582;360.782;394.683;29;60.475;0,133;13428;3681;426;2137;489;9.987;581.727;201.456;215.913;92,042%;380.271;365.814;65,36932272;62,88413637;56,28813469
Magdalena;0,466;9,2%;1.263.788;1.152.031;111.757;20.938;39;106.318;0,067;11725;2350;389;1524;332;12.796;940.868;426.120;440.575;92,106%;514.748;500.293;54,70990617;53,17355888;91,15698203
Meta;0,254;4,6%;919.129;760.745;158.384;20.528;32;8.836;0,448;16791;4415;496;1826;85;6.656;708.340;437.356;421.481;84,523%;270.984;286.859;38,25620465;40,49736002;82,76803365
Nariño;0,414;7,0%;1.335.521;810.092;525.429;206.455;140;233.062;0,391;14780;4757;1181;1825;26;47.992;1.110.166;525.215;583.079;93,440%;584.951;527.087;52,69040846;47,47821497;60,65737641
Norte de Santander;0,417;11,9%;1.346.806;1.125.779;221.027;4.545;238;5.470;0,425;11874;3593;944;1381;49;21.214;1.155.957;626.915;631.884;86,705%;529.042;524.073;45,76658128;45,336721;83,58880195
Putumayo;0,251;6,1%;283.197;182.841;100.356;50.694;17;10.262;0,462;1824;614;284;550;56;6.647;219.520;103.704;112.577;80,585%;115.816;106.943;52,75874636;48,71674563;64,56318393
Quindío;0,241;13,4%;509.640;468.975;40.665;2.883;6;6.060;0,167;8530;1057;378;779;162;6.972;467.859;265.928;256.389;84,342%;201.931;211.470;43,1606531;45,19951524;92,02083824
Risaralda;0,177;7,6%;839.597;715.613;123.984;29.909;18;16.733;0,214;10313;2650;412;1866;277;15.206;781.544;445.148;428.501;83,679%;336.396;353.043;43,04249025;45,17250468;85,23291532
San Andrés y Providencia;0,242;14,1%;48.299;46.892;1.407;20;0;26.873;;1453;197;49;89;371;1.049;48.517;12.770;15.301;94,926%;35.747;33.216;73,6793289;68,46260074;97,08689621
Santander;0,201;7,6%;2.008.841;1.627.725;381.116;1.262;347;22.759;0,069;31615;9088;435;3324;300;38.893;1.674.701;1.004.596;997.010;83,611%;670.105;677.691;40,01341135;40,46638773;81,02806544
Sucre;0,41;9,1%;864.036;742.119;121.917;104.890;134;102.836;0,269;9341;2219;258;960;132;20.637;679.867;352.898;357.962;82,255%;326.969;321.905;48,09308291;47,34823135;85,88982404
Tolima;0,31;7,7%;1.228.763;930.120;298.643;45.269;161;5.207;0,298;18220;4237;498;2418;15;30.001;1.058.296;584.488;587.320;86,056%;473.808;470.976;44,77083916;44,50323917;75,69563862
Valle del Cauca;0,204;9,1%;3.789.874;3.576.206;213.668;30.844;134;647.526;0,31;61680;13511;4064;5972;235;65.768;3.476.616;1.780.994;1.743.147;84,650%;1.695.622;1.733.469;48,77219687;49,86081293;94,36213447
Vaupés;0,594;;37.690;13.032;24.658;30.787;0;288;0,167;85;135;5;45;0;120;21.537;6.780;8.055;83,845%;14.757;13.482;68,51929238;62,59924781;34,57681083
Vichada;0,55;;76.642;27.632;49.010;44.578;1;580;0,25;370;82;42;51;0;245;48.451;15.983;16.080;78,711%;32.468;32.371;67,01203278;66,81183051;36,0533389
